,bowler_name,bowler_pkey,Smart_wicket,Actual_wicket,no_innings_bowled,smart_runs_conceded,Actual_runs_conceded,balls,no_balls,smart_bowl_average,economy_rate,bowl_average_nominal,economy_rate_nominal
0,Lungi Ngidi,49.0,82.87741052809463,65,36,952.6573148995094,982.0,751,3,11.494776548026532,7.641636215771467,15.107692307692307,7.877005347593583
1,Jasprit Bumrah,119.0,110.66441199948189,91,65,1290.576011663802,1629.0,1498,6,11.66206902784469,5.189983961114485,17.9010989010989,6.5509383378016075
2,Lockie Ferguson,96.0,60.50401879623583,47,32,724.7029273471132,846.0,734,3,11.977765142969306,5.948314041152777,18.0,6.943912448700409
3,Rashid Khan,63.0,231.48161310569463,187,134,2865.8236356935786,3294.0,3124,1,12.38035106652312,5.505905159833965,17.614973262032084,6.328530259365994
4,Jofra Archer,178.0,167.04136876606827,131,91,2308.5753100910065,2520.0,2127,17,13.820380706554388,6.564669128220871,19.236641221374047,7.165876777251184
5,Imran Tahir,36.0,198.27497575655417,166,116,2765.754616688638,2900.0,2624,3,13.949085637939932,6.331372644079293,17.46987951807229,6.63868752384586
6,Peter Siddle,687.0,64.510754586725,52,41,906.9349285702092,986.0,828,3,14.058662534337149,6.595890389601521,18.96153846153846,7.17090909090909
7,Mustafizur Rahman,248.0,90.87265769055664,84,55,1277.8307135680825,1390.0,1199,6,14.06177332151333,6.426642314676023,16.547619047619047,6.9907795473595975
8,Blair Tickner,499.0,77.99906138956135,61,38,1114.4532411141545,1130.0,828,3,14.288034000154036,8.105114480830213,18.524590163934427,8.218181818181819
9,Shaheen Afridi,427.0,114.65700119378783,92,61,1654.8362341144843,1673.0,1369,6,14.432927923150183,7.28467894694564,18.18478260869565,7.36463683052091
10,Harry Gurney,55.0,96.87253991519847,83,55,1403.2775691108786,1478.0,1170,8,14.485813733585363,7.245839427422782,17.80722891566265,7.631669535283995
11,Tabraiz Shamsi,397.0,100.81120599691612,75,59,1498.0296817791286,1558.0,1317,0,14.85975360541718,6.824736591248878,20.773333333333333,7.097949886104786
12,Dale Steyn,34.0,82.21909313879316,60,45,1229.3253927490928,1220.0,1004,2,14.9518237895653,7.361229896701154,20.33333333333333,7.3053892215568865
13,Fawad Ahmed,681.0,152.01299685112062,123,95,2300.638718491159,2354.0,2114,0,15.134486959324748,6.529722001394019,19.13821138211382,6.6811731315042575
14,Andrew Tye,179.0,149.0733338473368,127,80,2260.391214278983,2386.0,1798,10,15.16294803330693,7.585205417043568,18.787401574803148,8.006711409395974
15,Wahab Riaz,567.0,138.53501279752032,130,93,2121.637865811192,2418.0,2072,33,15.314813367160331,6.243171748340927,18.6,7.115252574791563
16,Sandeep Lamichhane,120.0,108.57932483309976,89,71,1671.084285702606,1734.0,1526,1,15.39044646180362,6.5747578453873015,19.48314606741573,6.822295081967213
17,Mujeeb Ur Rahman,193.0,122.34456744256244,101,88,1930.9525441148903,2132.0,2038,0,15.782903846723082,5.684845566579657,21.10891089108911,6.276741903827283
18,Haris Rauf,415.0,78.46923454993659,72,43,1247.649028869763,1253.0,963,4,15.899849616549767,7.805937615452114,17.40277777777778,7.839416058394161
19,Rahul Chahar,123.0,50.79462443060234,37,31,815.7292513103503,801.0,666,0,16.059361801657424,7.34891217396712,21.64864864864865,7.216216216216216
