,bowler_name,bowler_pkey,Smart_wicket,Actual_wicket,no_innings_bowled,smart_runs_conceded,Actual_runs_conceded,balls,no_balls,smart_bowl_average,economy_rate,bowl_average_nominal,economy_rate_nominal
0,Jasprit Bumrah,119.0,110.66441199948189,91,65,1290.576011663802,1629.0,1498,6,11.66206902784469,5.189983961114485,17.9010989010989,6.5509383378016075
1,Rashid Khan,63.0,231.48161310569463,187,134,2865.8236356935786,3294.0,3124,1,12.38035106652312,5.505905159833965,17.614973262032084,6.328530259365994
2,Mujeeb Ur Rahman,193.0,122.34456744256244,101,88,1930.9525441148903,2132.0,2038,0,15.782903846723082,5.684845566579657,21.10891089108911,6.276741903827283
3,Sunil Narine,93.0,119.15955932105584,97,101,2218.752804248173,2518.0,2312,1,18.62001518711653,5.760500573556486,25.95876288659794,6.537429684119429
4,Lockie Ferguson,96.0,60.50401879623583,47,32,724.7029273471132,846.0,734,3,11.977765142969306,5.948314041152777,18.0,6.943912448700409
5,Wahab Riaz,567.0,138.53501279752032,130,93,2121.637865811192,2418.0,2072,33,15.314813367160331,6.243171748340927,18.6,7.115252574791563
6,Keshav Maharaj,510.0,32.21432787694376,26,31,726.807746347683,728.0,694,0,22.56163000277493,6.283640458337317,28.0,6.293948126801153
7,Imran Tahir,36.0,198.27497575655417,166,116,2765.754616688638,2900.0,2624,3,13.949085637939932,6.331372644079293,17.46987951807229,6.63868752384586
8,Chris Green,238.0,80.1527075571995,65,76,1613.5753839777778,1646.0,1515,1,20.131264846247134,6.394618430559225,25.32307692307692,6.523117569352708
9,Mustafizur Rahman,248.0,90.87265769055664,84,55,1277.8307135680825,1390.0,1199,6,14.06177332151333,6.426642314676023,16.547619047619047,6.9907795473595975
10,Max Waller,1057.0,47.04902404789407,39,37,865.4442097271562,911.0,805,2,18.394519912807716,6.466581890862936,23.35897435897436,6.806973848069739
11,Shahid Afridi,533.0,76.78973561258917,62,57,1238.156010333825,1273.0,1143,0,16.123978035038807,6.49950661592559,20.532258064516128,6.682414698162729
12,Mohammad Amir,569.0,101.42324288978033,89,71,1720.5546739946135,1865.0,1590,2,16.964106303171476,6.500836299727759,20.95505617977528,7.046599496221663
13,Fawad Ahmed,681.0,152.01299685112062,123,95,2300.638718491159,2354.0,2114,0,15.134486959324748,6.529722001394019,19.13821138211382,6.6811731315042575
14,T Natarajan,59.0,47.73855813466125,43,31,786.2936679708831,828.0,721,2,16.4708298426798,6.561560511578997,19.25581395348837,6.909596662030599
15,Jofra Archer,178.0,167.04136876606827,131,91,2308.5753100910065,2520.0,2127,17,13.820380706554388,6.564669128220871,19.236641221374047,7.165876777251184
16,Sandeep Lamichhane,120.0,108.57932483309976,89,71,1671.084285702606,1734.0,1526,1,15.39044646180362,6.5747578453873015,19.48314606741573,6.822295081967213
17,Peter Siddle,687.0,64.510754586725,52,41,906.9349285702092,986.0,828,3,14.058662534337149,6.595890389601521,18.96153846153846,7.17090909090909
18,Imad Wasim,422.0,84.38644715069006,64,76,1804.9728265273116,1812.0,1623,0,21.38936864238574,6.672727639657342,28.3125,6.698706099815157
19,Murugan Ashwin,189.0,46.2541726384674,40,40,976.8236584557048,996.0,875,2,21.118606230204776,6.713564662925807,24.9,6.845360824742268
