pkey,created_on,last_updated_on,version,batting_hand,style_batting,date_of_birth,place_of_birth,bowling_hand,style_bowling,bowling_type,country,fielding_pos,first_name,url_img,last_name,middle_name,playing_role,short_name,src_id,url_thumb
1,"2021-02-14 23:31:21",NULL,0,RIGHT,"Right Hand Bat",1997-01-31,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Ruturaj Gaikwad",,,,,"RD Gaikwad",90363,
2,"2021-02-14 23:31:22",NULL,0,RIGHT,"Right Hand Bat",1992-08-07,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Deepak Chahar",,,,,"DL Chahar",53819,
3,"2021-02-14 23:31:22",NULL,0,RIGHT,"Right Hand Bat",1986-07-22,,RIGHT,"Right Arm Fast Medium",FAST_MEDIUM,nz,NULL,"Colin De Grandhomme",,,,,"Colin De Grandhomme",16630,
4,"2021-02-14 23:31:22",NULL,0,RIGHT,"Right Hand Bat",1993-07-24,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"KM Asif",,,,,"KM Asif",93557,
5,"2021-02-14 23:31:23",NULL,0,RIGHT,"Right Hand Bat",1991-07-30,,NULL,,NULL,za,NULL,"Heinrich Klaasen",,,,,"H Klaasen",46124,
6,"2021-02-14 23:31:23",NULL,0,RIGHT,"Right Hand Bat",2002-10-25,,RIGHT,"Right Arm Leg Spin",LEG_SPIN,in,NULL,"Prayas Barman",,,,,"Prayas Barman",94087,
7,"2021-02-14 23:31:23",NULL,0,LEFT,"Left Hand Bat",1994-01-16,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Jagadeesha Suchith",,,,,"Jagadeesha Suchith",671,
8,"2021-02-14 23:31:23",NULL,0,RIGHT,"Right Hand Bat",1984-04-01,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Murali Vijay",,,,,"Murali Vijay",632,
9,"2021-02-14 23:31:24",NULL,0,RIGHT,"Right Hand Bat",1992-01-03,,RIGHT,"Right Arm Fast",FAST,nz,NULL,"Scott Kuggeleijn",,,,,"Scott Kuggeleijn",16514,
10,"2021-02-14 23:31:24",NULL,0,RIGHT,"Right Hand Bat",1992-11-23,,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Navdeep Saini",,,,,"NA Saini",53988,
11,"2021-02-14 23:31:24",NULL,0,RIGHT,"Right Hand Bat",1988-11-05,Delhi,RIGHT,"Right Arm Medium",MEDIUM,in,NULL,"Virat Kohli",,,,,"Virat Kohli",119,
12,"2021-02-14 23:31:25",NULL,0,LEFT,"Left Hand Bat",1987-06-18,,RIGHT,"Right Arm Off Break",OFF_SPIN,en,NULL,"Moeen Ali",,,,,"Moeen Ali",93,
13,"2021-02-14 23:31:25",NULL,0,LEFT,"Left Hand Bat",1990-02-28,,LEFT,"Left Arm Fast Medium",FAST_MEDIUM,en,NULL,"David Willey",,,,,"David Willey",1935,
14,"2021-02-14 23:31:25",NULL,0,RIGHT,"Right Hand Bat",1990-06-29,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Gurkeerat Singh",,,,,"Gurkeerat Singh",719,
15,"2021-02-14 23:31:25",NULL,0,LEFT,"Left Hand Bat",1994-08-25,,LEFT,"Left Arm Orthodox",OFF_SPIN,in,NULL,"Chaitanya Bishnoi",,,,,"Chaitanya Bishnoi",49429,
16,"2021-02-14 23:31:26",NULL,0,RIGHT,"Right Hand Bat",1992-06-06,,RIGHT,"Right Arm Off Break",OFF_SPIN,in,NULL,"Dhruv Shorey",,,,,"Dhruv Shorey",70205,
